location_key,date,country_code,country_name,population,gdp_usd,gdp_per_capita_usd,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_vaccine_doses_administered,nurses_per_1000,physicians_per_1000,life_expectancy,human_development_index,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,population_male,population_female,population_rural,population_urban,population_density,population_largest_city,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,relative_humidity,new_vaccine_doses_administered,mes_periodo,mes_periodo_dt
AR,2020-01-01,AR,Argentina,44938712,449663446954.0,10006.0,0,0,0,3,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,23.5,18.034722,33.347222,0.0,64.426444,0.0,2020-01,2020-01-01
AR,2020-01-02,AR,Argentina,44938712,449663446954.0,10006.0,14,0,0,17,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,23.6875,17.194444,29.819444,0.0,65.073967,0.0,2020-01,2020-01-01
AR,2020-01-03,AR,Argentina,44938712,449663446954.0,10006.0,3,0,0,20,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,25.194444,17.75,31.506944,0.0,59.669389,0.0,2020-01,2020-01-01
AR,2020-01-04,AR,Argentina,44938712,449663446954.0,10006.0,7,0,0,27,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,26.305556,17.895833,33.229167,0.0,53.485178,0.0,2020-01,2020-01-01
AR,2020-01-05,AR,Argentina,44938712,449663446954.0,10006.0,5,0,0,32,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,25.888889,18.0625,33.923611,2.1844,57.126165,0.0,2020-01,2020-01-01
AR,2020-01-06,AR,Argentina,44938712,449663446954.0,10006.0,9,0,0,41,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,20.666667,13.826389,33.034722,16.383,50.019322,0.0,2020-01,2020-01-01
AR,2020-01-07,AR,Argentina,44938712,449663446954.0,10006.0,4,0,0,45,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,22.847222,12.583333,31.118056,0.0,45.904142,0.0,2020-01,2020-01-01
AR,2020-01-08,AR,Argentina,44938712,449663446954.0,10006.0,3,0,0,48,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,27.090278,18.333333,34.534722,0.0,44.23177,0.0,2020-01,2020-01-01
AR,2020-01-09,AR,Argentina,44938712,449663446954.0,10006.0,0,0,0,48,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,24.145833,19.013889,35.284722,8.255,60.604603,0.0,2020-01,2020-01-01
AR,2020-01-10,AR,Argentina,44938712,449663446954.0,10006.0,1,0,0,49,0,0,0.0,2.5996,3.9901,76.52,0.825,21.8,5.9,8.8,147.086,79.483,26.6,15.8,19523766.0,20593330.0,3599141.0,41339571.0,16.515,15057273.0,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,-34.0,-64.0,2780400.0,2690269.0,55032.0,23.743056,18.013889,29.513889,4.318,64.292409,0.0,2020-01,2020-01-01
